parameter_id,MGP_MLN_005_001
mouse_life_stage,Early adult
analysis_id,v99ax69vf7l8nrz
gene_accession_id,MGI:1919935
mouse_strain,C57BL
gene_symbol,Dnajc6
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.8682326
