gene_symbol,Trp53rkb
parameter_name,Global prepulse inhibition
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
analysis_id,l56bbn15omxgmw6
pvalue,0.06114651
