analysis_id,w5tl86g3d2g6g57
mouse_life_stage,Early adult
parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
pvalue,0.6188779
parameter_name,T cells - % of CD45+
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
