gene_symbol,Steap3
mouse_strain,C57BL
analysis_id,8710rzl5j4p1p96
parameter_id,IMPC_IMM_004_002
pvalue,0.06841433
gene_accession_id,MGI:1915678
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
