analysis_id,dw3l313uaayfrw6
gene_symbol,Nanp
parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:1914561
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.843809
