analysis_id,2upqhh4068qyglu
parameter_name,Startle response
gene_symbol,Zmynd19
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:1914437
pvalue,0.5780595
mouse_life_stage,Early adult
mouse_strain,C57BL
