analysis_id,4e1k2l0x0s78062
pvalue,0.8536816
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
parameter_name,ST
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
