analysis_id,22hv7wy001j39c2
gene_accession_id,MGI:1914556
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Zc2hc1a
pvalue,0.5928835
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_033_001
