analysis_id,q950w4o65qcvz08
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
parameter_name,Gait
pvalue,0.3545399
parameter_id,IMPC_CSD_033_001
gene_symbol,Pld1
