analysis_id,oz147pp870sh2r2
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
parameter_name,Bone Mineral Content
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
pvalue,0.3290366
gene_symbol,Ssr2
