analysis_id,p0d1m3l80t98lws
parameter_name,6kHz-evoked ABR Threshold
gene_accession_id,MGI:1913483
pvalue,0.3258038
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
gene_symbol,Dmap1
