gene_symbol,Steap3
analysis_id,03fesj5pt8pm2kb
mouse_life_stage,Early adult
pvalue,0.7303865
mouse_strain,C57BL
gene_accession_id,MGI:1915678
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
