analysis_id,80p4797g5q90w87
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
gene_symbol,Tnni1
pvalue,0.3387355
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
