parameter_id,JAXLA_DXA_007_001
analysis_id,f54v6hu3l8q36q4
gene_symbol,Cd52
pvalue,0.8158596
gene_accession_id,MGI:1346088
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
