parameter_name,Body Weight
parameter_id,M-G-P_020_001_001
gene_symbol,Alkbh3
analysis_id,167zzqdi3kiuzq9
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9652753
