gene_symbol,Kdm5b
parameter_id,IMPC_CBC_001_001
parameter_name,Sodium
gene_accession_id,MGI:1922855
analysis_id,rmcr9p6081rd18e
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1755074
