analysis_id,et2ky2p6ic9br1u
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Weight
pvalue,0.4569561
mouse_life_stage,E9.5
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
