analysis_id,lgm4wv1214d7cs4
pvalue,0.7433248
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_131_001
gene_accession_id,MGI:1860103
gene_symbol,Slc2a8
mouse_life_stage,Early adult
