gene_symbol,Toporsl
parameter_id,IMPC_OFD_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
pvalue,0.5914688
parameter_name,Periphery average speed
analysis_id,25hjy30m9i3h138
mouse_strain,C57BL
