gene_symbol,Tox
pvalue,0.3997091
parameter_id,ESLIM_007_001_007
analysis_id,60lqh3bznom4t79
gene_accession_id,MGI:2181659
mouse_strain,C57BL
parameter_name,Periphery resting time
mouse_life_stage,Early adult
