gene_symbol,Dcaf12
pvalue,0.7892269
mouse_strain,C57BL
analysis_id,9885711gt6k1lz0
mouse_life_stage,Early adult
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1916220
