gene_symbol,Etfdh
parameter_name,Fat mass
analysis_id,l1597v4104122ds
pvalue,0.262365
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
mouse_strain,C57BL
