analysis_id,pw85q21g6z9a631
parameter_name,Light side time spent
mouse_strain,C57BL
gene_symbol,Ivd
gene_accession_id,MGI:1929242
pvalue,0.5736995
mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
