mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
pvalue,0.9634473
gene_accession_id,MGI:1309468
mouse_strain,C57BL
gene_symbol,Casq1
analysis_id,ms5g10174200730
