gene_symbol,Zcchc2
pvalue,0.8853611
parameter_name,Radius
analysis_id,e31bai7tbhg2sm8
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444114
