analysis_id,se4953e8298u6t7
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
gene_symbol,Trim46
mouse_strain,C57BL
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:2673000
pvalue,0.3068335
