gene_symbol,Ubxn11
mouse_strain,C57BL
pvalue,0.7759807
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_006_001
analysis_id,1e2114vskg68021
gene_accession_id,MGI:1914836
