analysis_id,eir8c66u40635j3
gene_accession_id,MGI:1346344
mouse_strain,B6J
pvalue,0.9715983
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
gene_symbol,Nr0b2
mouse_life_stage,Early adult
