parameter_name,Right kidney weight
gene_symbol,Lpgat1
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.9379474
analysis_id,8d52g5zeed25p27
