analysis_id,xnd572t04393a4y
parameter_name,KLRG1+ gd T cells - % of CD45+
Parameter_id,MGP_IMM_089_001
pvalue,0.1263799
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
Mouse_strain,B6J
