parameter_name,Lean mass
parameter_id,IMPC_DXA_003_001
analysis_id,2892fl1p60bhtg6
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.3076819
gene_symbol,Hpca
gene_accession_id,MGI:1336200
