analysis_id,1o7q35z266e2a5s
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cisd2
pvalue,0.1519543
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:1914256
parameter_name,Effector Treg cells - % of Treg
