analysis_id,86ag86sv25rini2
gene_symbol,AU040320
pvalue,0.8856418
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_id,JAX_LDT_009_001
mouse_life_stage,Late adult
parameter_name,Percent time in light
