analysis_id,64l02lz9184x66v
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.08974833
parameter_name,Follicular B cells - % of CD45+
gene_accession_id,MGI:3045306
gene_symbol,Exd1
parameter_id,MGP_IMM_112_001
