analysis_id,s664mp861yp74a1
mouse_strain,C57BL
gene_accession_id,MGI:1914583
pvalue,0.3693848
mouse_life_stage,Early adult
gene_symbol,Stk35
parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
