analysis_id,74ud011v8u6ou85
mouse_strain,129SV
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
pvalue,0.285612
gene_symbol,Nipal3
parameter_name,Distance travelled - total
