parameter_name,ST
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
analysis_id,p306o5e4rc8k215
mouse_strain,C57BL
pvalue,0.1963078
parameter_id,IMPC_ECG_008_001
gene_symbol,Dmap1
