parameter_name,Phosphorus
parameter_id,IMPC_CBC_010_001
mouse_life_stage,Early adult
gene_symbol,Kifap3
pvalue,0.3277682
analysis_id,1xt8w9hw9cpz92m
gene_accession_id,MGI:107566
mouse_strain,C57BL
