parameter_name,Hemoglobin
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.379719
gene_symbol,Bcs1l
analysis_id,59k9720443phsyt
parameter_id,IMPC_HEM_003_001
