analysis_id,gp353m8i345br6c
gene_accession_id,MGI:1924360
parameter_id,JAX_SLW_013_001
pvalue,0.6468734
parameter_name,Breath rate during sleep mean
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
mouse_strain,C57BL
