analysis_id,7q42017dxco09r5
pvalue,0.2367394
mouse_strain,C57BL
gene_accession_id,MGI:88071
parameter_id,MGP_CSD_066_001
parameter_name,Snout morphology
gene_symbol,Arnt
mouse_life_stage,Early adult
