parameter_name,Hindlimb nail - number
pvalue,0.6173599
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
analysis_id,j0r0wcg945a601r
mouse_strain,C57BL
gene_accession_id,MGI:1913576
