parameter_id,JAX_SLW_013_001
analysis_id,j4vvbn540904776
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
pvalue,0.9294558
parameter_name,Breath rate during sleep mean
gene_symbol,Trp53i11
mouse_strain,C57BL
