gene_symbol,Serinc3
mouse_life_stage,Early adult
gene_accession_id,MGI:1349457
pvalue,0.07668789
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
parameter_name,Body position
analysis_id,o9q2s2yg8g9gt51
