analysis_id,354x8aqby553gsa
parameter_name,Triglycerides
mouse_strain,C57BL
pvalue,0.911265
gene_symbol,Rab17
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
parameter_id,HMGULA_CBC_017_001
