analysis_id,m209i363zb77570
parameter_id,M-G-P_014_001_009
pvalue,0.9210945
parameter_name,lens
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
mouse_strain,C57BL
