gene_symbol,Col6a3
pvalue,0.4089
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:88461
parameter_name,Thyroxine
analysis_id,d5818685klsbd91
mouse_life_stage,Early adult
mouse_strain,C57BL
