analysis_id,1js77kh3y315ao2
gene_symbol,Eprs1
parameter_id,M-G-P_013_001_001
mouse_life_stage,E9.5
parameter_name,Eye
gene_accession_id,MGI:97838
pvalue,0.2536183
mouse_strain,C57BL
