analysis_id,l9v9g76tx28l48u
mouse_life_stage,E15.5
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_name,Vibrissae - presence
gene_accession_id,MGI:88174
parameter_id,JAXLA_CSD_023_001
pvalue,0.6651428
