analysis_id,s38c04oyy5ts0x9
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
pvalue,0.9203308
gene_symbol,Lcn2
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:96757
mouse_strain,C57BL
