parameter_name,Albumin
parameter_id,IMPC_CBC_007_001
gene_accession_id,MGI:2446274
pvalue,0.08858363
mouse_strain,C57BL
gene_symbol,Frmpd1
mouse_life_stage,Late adult
analysis_id,t718186po5po99n
