gene_accession_id,MGI:3045306
gene_symbol,Exd1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_013_001
pvalue,0.1314029
parameter_name,Alanine aminotransferase
analysis_id,602e8v3a3lrs764
