gene_symbol,Lurap1
gene_accession_id,MGI:1915325
pvalue,0.5701015
parameter_name,LDL-cholesterol
analysis_id,979ft270780um15
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
mouse_life_stage,Early adult
