parameter_id,IMPC_OFD_011_001
analysis_id,5qp5t244f666iv3
pvalue,0.3629878
gene_accession_id,MGI:1933159
mouse_strain,C57BL
parameter_name,Periphery resting time
gene_symbol,Rnf114
mouse_life_stage,Early adult
