parameter_name,Center resting time
analysis_id,4pmy2797f60a02x
gene_accession_id,MGI:1915033
pvalue,0.2293498
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
gene_symbol,Ahctf1
mouse_life_stage,Early adult
