gene_symbol,Ilkap
mouse_life_stage,Early adult
pvalue,0.1903708
mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
analysis_id,711emga737a15z6
gene_accession_id,MGI:1914694
