parameter_name,Red blood cell count
analysis_id,i9r0069y7h0wjo1
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
pvalue,0.3095377
