analysis_id,ne055ni5465cvsa
parameter_name,Alkaline phosphatase
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_id,HRWLLA_CBC_014_001
pvalue,0.3001467
mouse_strain,129SV
