analysis_id,19l5uo278f7488n
pvalue,0.8953185
gene_symbol,Zfp683
parameter_name,Tibia length
mouse_strain,C57BL
gene_accession_id,MGI:3650254
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
