gene_symbol,Bmi1
parameter_name,Fat/Body weight
analysis_id,76v6wc67x97aj37
mouse_life_stage,Early adult
pvalue,0.2011259
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
