parameter_name,NK Subsets (Q2)
pvalue,0.06213151
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_id,IMPC_IMM_055_001
analysis_id,1h64ax1832kgi49
gene_accession_id,MGI:1923959
mouse_strain,C57BL
