parameter_name,Thyroxine
analysis_id,49ex622jk8v3y4s
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
gene_symbol,Rap2b
pvalue,0.4114287
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
