gene_symbol,Ifi44
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:2443016
analysis_id,7y4fe5y6901of55
parameter_id,MGP_IMM_014_001
pvalue,0.8113776
mouse_life_stage,Early adult
