analysis_id,pw2f0ss3t424c8k
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_name,Neural tube closure
pvalue,0.5362902
mouse_life_stage,E18.5
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:2685277
